,ts_code,symbol,name,area,industry,list_date
313,000796.SZ,000796,凯撒旅游,陕西,旅游服务,19970703
314,000797.SZ,000797,中国武夷,福建,地产,19970715
315,000798.SZ,000798,中水渔业,北京,农矿业,19980212
316,000799.SZ,000799,酒鬼酒,湖南,白酒,19970718
317,000800.SZ,000800,一汽轿车,吉林,汽车服务,19970618
318,000801.SZ,000801,四川九洲,四川,软件服务,19980506
319,000802.SZ,000802,北京文化,北京,影视音像,19980108
320,000803.SZ,000803,金宇车城,四川,元器件,19980303
321,000806.SZ,000806,ST银河,广西,化学制药,19980416
322,000807.SZ,000807,云农矿业股份,云南,农矿业,19980408
323,000809.SZ,000809,铁岭新城,辽宁,地产,19980616
324,000810.SZ,000810,创维数字,四川,元器件,19980602
325,000811.SZ,000811,冰轮环境,山东,工程机械,19980528
326,000812.SZ,000812,陕西金叶,陕西,广告包装,19980623
327,000813.SZ,000813,德展健康,新疆,化学制药,19980519
328,000815.SZ,000815,美利云,宁夏,造纸,19980609
329,000816.SZ,000816,*ST慧业,江苏,农矿业,19970818
330,000818.SZ,000818,航锦科技,辽宁,化学制药,19971017
331,000819.SZ,000819,岳阳兴长,湖南,农矿业,19970625
332,000820.SZ,000820,*ST节能,辽宁,环境保护,19980630
333,000821.SZ,000821,京山轻机,湖北,轻工机械,19980626
334,000822.SZ,000822,山东海化,山东,化学制药,19980703
335,000823.SZ,000823,超声电子,广东,元器件,19971008
336,000825.SZ,000825,太钢不锈,山西,特种钢,19981021
337,000826.SZ,000826,启迪桑德,湖北,环境保护,19980225
338,000828.SZ,000828,东莞控股,广东,路桥,19970617
339,000829.SZ,000829,天音控股,江西,综合服务,19971202
340,000830.SZ,000830,鲁西化工,山东,农矿业,19980807
341,000831.SZ,000831,五矿稀土,山西,小金属,19980911
342,000833.SZ,000833,粤桂股份,广西,造纸,19981111
343,000835.SZ,000835,长城动漫,四川,影视音像,19990625
344,000836.SZ,000836,富通鑫茂,天津,软件服务,19970929
345,000837.SZ,000837,秦川机床,陕西,机械,19980928
346,000838.SZ,000838,财信发展,重庆,地产,19970626
347,000839.SZ,000839,中信国安,北京,综合类,19971031
348,000848.SZ,000848,承德露露,河北,软饮料,19971113
349,000850.SZ,000850,华茂股份,安徽,农矿业,19981007
350,000851.SZ,000851,高鸿股份,贵州,软件服务,19980609
351,000852.SZ,000852,石化机械,湖北,机械,19981126
352,000856.SZ,000856,冀东装备,河北,机械,19980813
353,000858.SZ,000858,五粮液,四川,白酒,19980427
354,000859.SZ,000859,国风塑业,安徽,塑料,19981119
355,000860.SZ,000860,顺鑫农业,北京,白酒,19981104
356,000861.SZ,000861,海印股份,广东,地产,19981028
357,000862.SZ,000862,银星能源,宁夏,新型电力,19980915
358,000863.SZ,000863,三湘印象,上海,地产,19970925
359,000868.SZ,000868,*ST安凯,安徽,汽车服务,19970725
360,000869.SZ,000869,张裕A,山东,红黄药酒,20001026
361,000875.SZ,000875,吉电股份,吉林,火力发电,20020926
362,000876.SZ,000876,新希望,四川,饲料,19980311
363,000877.SZ,000877,天山股份,新疆,水泥,19990107
364,000878.SZ,000878,云南农矿业业,云南,农矿业,19980602
365,000880.SZ,000880,潍柴重机,山东,机械,19980402
366,000881.SZ,000881,中广核技,辽宁,综合类,19980902
367,000882.SZ,000882,华联股份,北京,百货,19980616
368,000883.SZ,000883,湖北能源,湖北,火力发电,19980519
369,000885.SZ,000885,城发环境,河南,公路,19990319
370,000886.SZ,000886,海南高速,海南,路桥,19980123
371,000887.SZ,000887,中鼎股份,安徽,橡胶,19981203
372,000888.SZ,000888,峨眉山A,四川,旅游景点,19971021
373,000889.SZ,000889,中嘉博创,河北,软件服务,19971218
374,000890.SZ,000890,法尔胜,江苏,多元金融,19990119
375,000892.SZ,000892,欢瑞世纪,重庆,影视音像,19990115
376,000893.SZ,000893,*ST东凌,广东,农矿业,19981224
377,000895.SZ,000895,双汇发展,河南,农矿业,19981210
378,000897.SZ,000897,*ST津滨,天津,地产,19990422
379,000898.SZ,000898,鞍钢股份,辽宁,普钢,19971225
380,000899.SZ,000899,赣能股份,江西,火力发电,19971126
381,000900.SZ,000900,现代投资,湖南,路桥,19990128
382,000901.SZ,000901,航天科技,黑龙江,航空,19990401
